feature,missing_count,missing_rate,non_null_unique,is_constant_or_empty
feature_157,1429,0.9119336311423102,128,False
feature_158,1429,0.9119336311423102,138,False
feature_292,1429,0.9119336311423102,92,False
feature_293,1429,0.9119336311423102,138,False
feature_085,1341,0.8557753669432036,97,False
feature_220,1341,0.8557753669432036,69,False
feature_358,1341,0.8557753669432036,20,False
feature_492,1341,0.8557753669432036,226,False
feature_109,1018,0.6496490108487556,96,False
feature_110,1018,0.6496490108487556,546,False
feature_111,1018,0.6496490108487556,545,False
feature_244,1018,0.6496490108487556,66,False
feature_245,1018,0.6496490108487556,539,False
feature_246,1018,0.6496490108487556,547,False
feature_382,1018,0.6496490108487556,29,False
feature_383,1018,0.6496490108487556,525,False
feature_384,1018,0.6496490108487556,536,False
feature_516,1018,0.6496490108487556,498,False
feature_517,1018,0.6496490108487556,543,False
feature_518,1018,0.6496490108487556,542,False
feature_578,949,0.6056158264199106,322,False
feature_579,949,0.6056158264199106,260,False
feature_580,949,0.6056158264199106,120,False
feature_581,949,0.6056158264199106,611,False
feature_072,794,0.5067007019783025,773,False
feature_073,794,0.5067007019783025,770,False
feature_345,794,0.5067007019783025,767,False
feature_346,794,0.5067007019783025,762,False
feature_112,715,0.4562858966177409,249,False
feature_247,715,0.4562858966177409,490,False
feature_385,715,0.4562858966177409,232,False
feature_519,715,0.4562858966177409,836,False
feature_562,273,0.1742182514358647,873,False
feature_563,273,0.1742182514358647,785,False
feature_564,273,0.1742182514358647,581,False
feature_565,273,0.1742182514358647,753,False
feature_566,273,0.1742182514358647,887,False
feature_567,273,0.1742182514358647,619,False
feature_568,273,0.1742182514358647,887,False
feature_569,273,0.1742182514358647,897,False
feature_546,260,0.16592214422463306,1047,False
feature_547,260,0.16592214422463306,1023,False
feature_548,260,0.16592214422463306,964,False
feature_549,260,0.16592214422463306,1048,False
feature_550,260,0.16592214422463306,747,False
feature_551,260,0.16592214422463306,213,False
feature_552,260,0.16592214422463306,973,False
feature_553,260,0.16592214422463306,1077,False
