feature,standardized_mean_shift,absolute_standardized_mean_shift,missing_rate_change
feature_140,409.2056925548453,409.2056925548453,0.016706401451802296
feature_275,328.3487763033526,328.3487763033526,0.016706401451802296
feature_004,37.6303717699456,37.6303717699456,0.016706401451802296
feature_007,-1.4329849244846014,1.4329849244846014,0.0007828345728214071
feature_132,-1.0722143553832528,1.0722143553832528,0.005563717142552142
feature_056,-1.0680216759839758,1.0680216759839758,-0.0031923383878691143
feature_417,0.9258019531401432,0.9258019531401432,0.006369426751592357
feature_316,0.8478688231180842,0.8478688231180842,-0.0007980845969672786
feature_144,0.8373621797263754,0.8373621797263754,0.006369426751592357
feature_070,0.8329806394147379,0.8329806394147379,-0.004788507581803671
feature_279,0.8296234326364066,0.8296234326364066,0.006369426751592357
feature_046,0.8242606216792911,0.8242606216792911,-0.0007980845969672786
feature_058,-0.8153796025902754,0.8153796025902754,-0.0031923383878691143
feature_066,0.8005600740727894,0.8005600740727894,-0.004788507581803671
feature_028,0.7902818325040935,0.7902818325040935,-0.0015961691939345571
feature_045,0.7476385865401932,0.7476385865401932,-0.0007980845969672786
feature_440,0.7434075251856466,0.7434075251856466,-0.0015961691939345571
feature_548,-0.7429215366820928,0.7429215366820928,-0.18758800534767514
feature_169,0.7401289881424731,0.7401289881424731,-0.0015961691939345571
feature_542,0.7377373918166531,0.7377373918166531,0.006369426751592357
feature_319,-0.7288837826299109,0.7288837826299109,-0.0007980845969672786
feature_304,0.717986630382487,0.717986630382487,-0.0015961691939345571
feature_571,-0.7150296900558366,0.7150296900558366,0.0
feature_050,0.7011342137379154,0.7011342137379154,-0.0007980845969672786
feature_455,-0.6871622289715226,0.6871622289715226,-0.0007980845969672786
feature_170,-0.6846198995847625,0.6846198995847625,-0.0007980845969672786
feature_201,0.682206897277166,0.682206897277166,-0.00558659217877095
feature_441,-0.6763911333166428,0.6763911333166428,-0.0007980845969672786
feature_413,0.6642320317018646,0.6642320317018646,0.016706401451802296
feature_183,-0.6445569673949687,0.6445569673949687,-0.0007980845969672786
feature_543,0.6390470219377955,0.6390470219377955,0.006369426751592357
feature_180,0.6315392849709396,0.6315392849709396,-0.0007980845969672786
feature_202,0.6116276831520066,0.6116276831520066,-0.00558659217877095
feature_062,0.599517012455722,0.599517012455722,-0.004788507581803671
feature_305,-0.5960764175258048,0.5960764175258048,-0.0007980845969672786
feature_274,0.5959277650048549,0.5959277650048549,0.016706401451802296
feature_139,0.5956613254300717,0.5956613254300717,0.016706401451802296
feature_038,-0.5936876777122166,0.5936876777122166,-0.0007980845969672786
feature_077,-0.5936172896437264,0.5936172896437264,0.07643312101910828
feature_452,0.5892561997453368,0.5892561997453368,-0.0007980845969672786
feature_442,0.5858062686206463,0.5858062686206463,-0.0007980845969672786
feature_545,0.5810530011132617,0.5810530011132617,0.006369426751592357
feature_353,0.5703376413571016,0.5703376413571016,0.07643312101910828
feature_473,0.5643867849553355,0.5643867849553355,-0.00558659217877095
feature_008,-0.5494203232954225,0.5494203232954225,0.006369426751592357
feature_171,0.5381758202478222,0.5381758202478222,-0.0007980845969672786
feature_306,0.5334396298159009,0.5334396298159009,-0.0007980845969672786
feature_338,0.5290452016888346,0.5290452016888346,-0.00558659217877095
feature_562,0.5248076143805781,0.5248076143805781,-0.2138942969993036
feature_076,0.5223242886930832,0.5223242886930832,0.07643312101910828
feature_318,0.5187863771498237,0.5187863771498237,-0.0007980845969672786
feature_022,-0.5154521568536037,0.5154521568536037,-0.0015961691939345571
feature_337,0.5069923388115882,0.5069923388115882,-0.00558659217877095
feature_215,0.5062791771372968,0.5062791771372968,0.07643312101910828
feature_121,-0.5023789671138637,0.5023789671138637,0.004765632545584863
feature_053,-0.49329319018985407,0.49329319018985407,-0.0031923383878691143
