timestamp,records,failures,failure_rate,mean_row_missing_rate
2008-07-19,24,5,0.20833333333333334,0.04971751412429379
2008-07-26,47,10,0.2127659574468085,0.04349080418319509
2008-08-02,93,7,0.07526881720430108,0.052323674138873705
2008-08-09,48,7,0.14583333333333334,0.05007062146892655
2008-08-16,217,27,0.12442396313364056,0.05120674841833945
2008-08-23,122,5,0.040983606557377046,0.056932481244790216
2008-08-30,185,6,0.032432432432432434,0.05856161245991755
2008-09-06,84,2,0.023809523809523808,0.051795803066989506
2008-09-13,112,7,0.0625,0.03883171912832929
2008-09-20,184,2,0.010869565217391304,0.034865512159174654
2008-09-27,169,10,0.05917159763313609,0.032494233276501854
2008-10-04,170,15,0.08823529411764706,0.03206380857427717
2008-10-11,112,1,0.008928571428571428,0.050423728813559325
